time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-06T14:15:07.770Z,46.2013333,-122.1773333,1.61,0.1,ml,6,141,0.01424,0.03,uw,uw61363216,2018-01-06T23:57:12.960Z,"38km NNE of Amboy, Washington",earthquake,0.39,0.45,0.031,3,reviewed,uw,uw
2018-01-06T14:14:34.130Z,38.7953339,-122.7223358,1.85,1.9,md,17,50,0.00555,0.06,nc,nc72949781,2018-01-06T15:43:01.767Z,"3km S of Cobb, CA",earthquake,0.26,0.46,0.12,9,automatic,nc,nc
2018-01-06T14:12:14.890Z,38.8110008,-122.8059998,1.92,2.11,md,33,65,0.008889,0.04,nc,nc72949776,2018-01-06T15:14:01.693Z,"6km NW of The Geysers, CA",earthquake,0.17,0.33,0.27,12,automatic,nc,nc
2018-01-06T14:09:49.420Z,38.8116684,-122.8180008,1.92,1.15,md,12,142,0.009169,0.07,nc,nc72949771,2018-01-06T14:59:01.666Z,"7km NW of The Geysers, CA",earthquake,0.43,0.57,0.08,5,automatic,nc,nc
2018-01-06T14:08:21.430Z,19.118,-66.4503,35,2.74,md,3,334,0.829,0.09,pr,pr2018006005,2018-01-06T17:33:43.754Z,"72km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.8,9.81,0.28,2,reviewed,pr,pr
2018-01-06T14:00:39.078Z,63.2737,-150.1883,99.1,1.4,ml,,,,0.28,ak,ak17950432,2018-01-06T20:37:18.929Z,"63km WSW of Cantwell, Alaska",earthquake,,5,,,reviewed,ak,ak
2018-01-06T14:00:03.220Z,3.6415,-78.0769,28.86,4.7,mb,,119,1.907,1.39,us,us1000c1f1,2018-01-06T14:33:05.040Z,"104km SW of Santa Genoveva de Docorodo, Colombia",earthquake,6,7.3,0.123,20,reviewed,us,us
2018-01-06T13:54:05.670Z,37.6081657,-118.8148346,4.18,1.32,md,15,79,0.02136,0.02,nc,nc72949766,2018-01-06T14:31:02.625Z,"13km WNW of Toms Place, CA",earthquake,0.31,0.53,0.11,12,automatic,nc,nc
2018-01-06T13:52:55.570Z,4.1484,126.758,55.43,4.8,mb,,115,3.13,1.16,us,us1000c1ey,2018-01-06T14:13:29.040Z,"199km SE of Sarangani, Philippines",earthquake,5.8,6.9,0.084,44,reviewed,us,us
2018-01-06T13:45:28.520Z,40.7666,142.5522,44.64,4.7,mb,,150,1.129,1.09,us,us1000c1ep,2018-01-07T01:19:26.240Z,"93km ENE of Hachinohe, Japan",earthquake,6.7,8.3,0.099,31,reviewed,us,us
2018-01-06T13:42:15.270Z,62.1744,-145.5538,25.6,1.9,ml,,,,0.54,ak,ak17950430,2018-01-06T13:48:45.212Z,"7km N of Glennallen, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-06T12:56:57.290Z,36.1055,-117.7626667,6.36,1.58,ml,17,76,0.07562,0.15,ci,ci37848047,2018-01-07T02:35:00.665Z,"18km ENE of Coso Junction, CA",earthquake,0.35,0.59,0.163,20,automatic,ci,ci
2018-01-06T12:41:46.127Z,37.7551,-116.3408,8.4,1.8,ml,17,109.85,0.483,0.2288,nn,nn00617290,2018-01-07T02:34:58.715Z,"48km S of Warm Springs, Nevada",earthquake,,5.2,0.23,12,reviewed,nn,nn
2018-01-06T12:33:39.400Z,-7.283,129.2045,142.88,4.1,mb,,74,2.189,1.14,us,us1000c1el,2018-01-06T12:51:07.040Z,"244km WNW of Saumlaki, Indonesia",earthquake,6.7,12.1,0.158,11,reviewed,us,us
2018-01-06T12:33:30.520Z,19.2931,-66.9111,37,3.15,md,4,336,0.9594,0.06,pr,pr2018006004,2018-01-06T16:25:44.260Z,"88km N of Isabela, Puerto Rico",earthquake,1.43,6.96,0.07,3,reviewed,pr,pr
2018-01-06T12:12:34.080Z,33.4243333,-117.7221667,15.59,1.32,ml,22,188,0.1375,0.3,ci,ci37848039,2018-01-06T12:23:12.070Z,"5km SSW of Dana Point, CA",earthquake,1.05,0.81,0.261,28,automatic,ci,ci
2018-01-06T11:59:04.290Z,33.6696667,-116.713,14.82,0.36,ml,19,93,0.0414,0.07,ci,ci37848031,2018-01-06T12:02:47.865Z,"8km S of Idyllwild, CA",earthquake,0.22,0.35,0.081,11,automatic,ci,ci
